ORIGIN_AIRPORT,DESTINATION_AIRPORT,route_delay_rate
11003,13487,0.19444444444444445
11003,13930,0.07407407407407407
11013,11433,0.15151515151515152
11042,10397,0.07784431137724551
11042,10529,0.18181818181818182
11042,10693,0.08333333333333333
11042,10721,0.1746031746031746
11042,10821,0.13636363636363635
11042,11057,0.10606060606060606
11042,11278,0.21333333333333335
11042,11292,0.013513513513513514
11042,11298,0.06756756756756757
11042,11433,0.02702702702702703
11042,11618,0.21212121212121213
11042,11697,0.3611111111111111
11042,12264,0.2222222222222222
11042,12266,0.0273972602739726
11042,12478,0.16666666666666666
11042,12889,0.08139534883720931
11042,12892,0.18
11042,12953,0.19047619047619047
11042,13204,0.1388888888888889
11042,13232,0.08823529411764706
11042,13303,0.23809523809523808
11042,13342,0.09523809523809523
11042,13487,0.10526315789473684
11042,13577,0.14285714285714285
11042,13930,0.09170305676855896
11042,14107,0.08333333333333333
11042,14492,0.2
11042,14635,0.17857142857142858
11042,14771,0.05555555555555555
11042,15016,0.07407407407407407
11042,15304,0.038461538461538464
11049,11298,0.07142857142857142
11049,12266,0.13043478260869565
11057,10257,0.125
11057,10397,0.13196480938416422
11057,10423,0.10416666666666667
11057,10529,0.22580645161290322
11057,10693,0.125
11057,10721,0.18518518518518517
11057,10792,0.06349206349206349
11057,10821,0.1837837837837838
11057,10994,0.2222222222222222
11057,11042,0.07575757575757576
11057,11259,0.05555555555555555
11057,11278,0.16546762589928057
11057,11292,0.10743801652892562
11057,11298,0.10047846889952153
11057,11433,0.1
11057,11618,0.2168141592920354
11057,11697,0.2047244094488189
11057,11995,0.23529411764705882
11057,12191,0.05555555555555555
11057,12264,0.0
11057,12266,0.11801242236024845
11057,12323,0.23076923076923078
11057,12339,0.10344827586206896
11057,12451,0.12173913043478261
11057,12478,0.2826086956521739
11057,12889,0.14457831325301204
11057,12892,0.1523809523809524
11057,12953,0.16831683168316833
11057,13198,0.22388059701492538
11057,13204,0.30128205128205127
11057,13230,0.26666666666666666
11057,13232,0.09090909090909091
11057,13244,0.13333333333333333
11057,13303,0.16770186335403728
11057,13487,0.14414414414414414
11057,13495,0.13636363636363635
11057,13930,0.12272727272727273
11057,13931,0.11290322580645161
11057,14027,0.21518987341772153
11057,14057,0.0
11057,14100,0.1711229946524064
11057,14107,0.15384615384615385
11057,14122,0.15503875968992248
11057,14307,0.20588235294117646
11057,14321,0.16666666666666666
11057,14492,0.1506849315068493
11057,14524,0.125
11057,14576,0.15625
11057,14635,0.05
11057,14679,0.0
11057,14683,0.13333333333333333
11057,14747,0.10810810810810811
11057,14771,0.1
11057,14843,0.0
11057,14869,0.0625
11057,14893,0.2
11057,15016,0.1509433962264151
11057,15024,0.375
11057,15096,0.09090909090909091
11057,15304,0.14
11057,15356,0.2222222222222222
11066,10397,0.06432748538011696
11066,10693,0.030303030303030304
11066,10721,0.06060606060606061
11066,10821,0.1125
11066,11259,0.0
11066,11278,0.0
11066,11292,0.1111111111111111
11066,11298,0.047619047619047616
11066,11618,0.28
11066,12266,0.09433962264150944
11066,12478,0.3333333333333333
11066,12889,0.08333333333333333
11066,12892,0.06451612903225806
11066,12953,0.1875
11066,13204,0.1388888888888889
11066,13232,0.08771929824561403
11066,13303,0.15625
11066,13487,0.0
11066,13796,0.0
11066,13930,0.1
11066,14107,0.1346153846153846
11066,14635,0.16666666666666666
11066,15016,0.06060606060606061
11066,15304,0.0
11067,11298,0.0
11067,13930,0.049019607843137254
11076,13930,0.05714285714285714
11097,14869,0.2222222222222222
11109,10397,0.0
11109,11292,0.23076923076923078
11109,11298,0.05660377358490566
11109,12266,0.08163265306122448
11109,12892,0.21212121212121213
11109,13930,0.14814814814814814
11109,14747,0.05555555555555555
11109,14869,0.12903225806451613
11111,11298,0.0
11111,13930,0.0
11122,11292,0.21212121212121213
11122,14869,0.06521739130434782
11140,11298,0.1206896551724138
11140,12191,0.030303030303030304
11140,12266,0.05128205128205128
11146,10397,0.15476190476190477
11146,12266,0.06666666666666667
11146,13930,0.06060606060606061
11150,10397,0.15151515151515152
11193,10397,0.0851063829787234
11193,10529,0.1
11193,10693,0.2
11193,10721,0.13333333333333333
11193,11278,0.0
11193,11292,0.14814814814814814
11193,11298,0.043859649122807015
11193,11433,0.08695652173913043
11193,11618,0.18571428571428572
11193,11697,0.05555555555555555
11193,12264,0.125
11193,12266,0.18867924528301888
11193,12478,0.05555555555555555
11193,12889,0.16666666666666666
11193,12892,0.06896551724137931
