DESTINATION_AIRPORT,destination_delay_rate
14574,0.12878787878787878
14576,0.1405152224824356
14588,0.07407407407407407
14633,0.056074766355140186
14635,0.113
14674,0.07407407407407407
14679,0.11233784156776153
14683,0.10592105263157894
14685,0.11928934010152284
14689,0.16463414634146342
14696,0.12757201646090535
14698,0.2
14709,0.0851063829787234
14711,0.16666666666666666
14730,0.09730848861283643
14747,0.136889035667107
14771,0.15931253047294003
14783,0.07894736842105263
14794,0.12931034482758622
14814,0.1069182389937107
14828,0.16981132075471697
14831,0.09906357811729916
14842,0.03488372093023256
14843,0.16266173752310537
14869,0.07614213197969544
14893,0.12428571428571429
14905,0.14285714285714285
14908,0.0938875305623472
14952,0.16091954022988506
14960,0.04225352112676056
14986,0.08888888888888889
15016,0.10103833865814696
15024,0.19852941176470587
15027,0.075
15041,0.05714285714285714
15048,0.030303030303030304
15070,0.3142857142857143
15096,0.13333333333333333
15249,0.09815950920245399
15295,0.0
15304,0.12562814070351758
15323,0.06315789473684211
15356,0.12422360248447205
15370,0.110397946084724
15376,0.12384716732542819
15380,0.13953488372093023
15389,0.0392156862745098
15401,0.1
15411,0.0916030534351145
15412,0.12637362637362637
15497,0.125
15607,0.1568627450980392
15624,0.07377049180327869
15841,0.17142857142857143
15919,0.12316176470588236
15991,0.08333333333333333
16218,0.12745098039215685
ABE,0.19533369506239825
ABI,0.2043360433604336
ABQ,0.20490034277009014
ABR,0.10467289719626169
ABY,0.2073342736248237
ACK,0.19096509240246407
ACT,0.2501998401278977
ACV,0.23823529411764705
ACY,0.2669820885434268
ADK,0.10526315789473684
ADQ,0.10732984293193717
AEX,0.21195219123505976
AGS,0.18779342723004694
AKN,0.15873015873015872
ALB,0.21828103683492497
ALO,0.23430962343096234
AMA,0.2058165548098434
ANC,0.17749627421758568
APN,0.1492204899777283
ASE,0.2893347412882788
ATL,0.1510516523937341
ATW,0.17247386759581881
AUS,0.20522001597964076
AVL,0.1809023215067893
AVP,0.2688679245283019
AZO,0.18800888230940044
BDL,0.21818667378822273
BET,0.11080711354309165
BFL,0.19099014547160958
BGM,0.1488095238095238
BGR,0.14332247557003258
BHM,0.19746412423825438
BIL,0.1551650235747964
BIS,0.20092625578909867
BJI,0.08823529411764706
BLI,0.111328125
BMI,0.23697556477639464
BNA,0.18692717770949868
BOI,0.2013677811550152
BOS,0.226009765782821
BPT,0.3063660477453581
BQK,0.17755681818181818
BQN,0.2851817334575955
BRD,0.08091286307053942
BRO,0.1931578947368421
BRW,0.1664167916041979
BTM,0.04150943396226415
BTR,0.22901824500434406
BTV,0.2435121107266436
BUF,0.2124390604225144
BUR,0.16112869198312235
BWI,0.18840854690875125
BZN,0.1588785046728972
CAE,0.21737055595323312
CAK,0.19254032258064516
CDC,0.11373390557939914
CDV,0.13382899628252787
CEC,0.22285714285714286
CHA,0.1976882039122703
CHO,0.25072886297376096
CHS,0.18633540372670807
CID,0.22847445516255804
CIU,0.17219917012448133
CLD,0.14696485623003194
CLE,0.20381938247367481
CLL,0.17379233759022766
CLT,0.16072138314785372
CMH,0.2116364010494367
CMI,0.2175
CMX,0.20874751491053678
CNY,0.03414634146341464
COD,0.15344827586206897
COS,0.2456927494615937
COU,0.2889324191968658
CPR,0.12714097496706192
CRP,0.23653512037726482
CRW,0.2220472440944882
CSG,0.20838052095130238
CVG,0.20876479289940827
CWA,0.2301293900184843
DAB,0.1495176848874598
DAL,0.18174312509261809
DAY,0.2009712898157406
DBQ,0.21518987341772153
DCA,0.19500263287526964
DEN,0.19757889095551842
DFW,0.19697268462783843
DHN,0.1848574237954769
DIK,0.12572759022118743
DLG,0.05194805194805195
DLH,0.1676923076923077
DRO,0.1656769596199525
DSM,0.23383084577114427
DTW,0.173974540311174
DVL,0.17435897435897435
EAU,0.21880998080614203
ECP,0.16724237190558433
EGE,0.20948616600790515
EKO,0.07259953161592506
ELM,0.22424242424242424
ELP,0.22250639386189258
ERI,0.1986644407345576
ESC,0.1419068736141907
EUG,0.1736506872276232
EVV,0.18876703223662347
EWN,0.2363238512035011
EWR,0.22150548430009287
EYW,0.14539682539682539
FAI,0.18619934282584885
FAR,0.1984682713347921
FAT,0.2023666609500943
FAY,0.16730621642363777
FCA,0.14801864801864803
FLG,0.16603198781416603
FLL,0.2169412650344745
FNT,0.1934976402726796
FSD,0.23572241183162684
FSM,0.24539097266369994
FWA,0.20062320230105465
GCC,0.1211372064276885
GCK,0.2153846153846154
GEG,0.16172680412371135
GFK,0.11270491803278689
GGG,0.18762475049900199
GJT,0.1503672207189795
GNV,0.2257471264367816
GPT,0.19185852519185853
GRB,0.1830843251456065
GRI,0.17303822937625754
GRK,0.20738900962434026
GRR,0.20313380678615714
GSO,0.21428571428571427
GSP,0.20112055641421947
GST,0.25675675675675674
GTF,0.11616472034419176
GTR,0.17904509283819628
GUC,0.27790973871733965
GUM,0.337037037037037
HDN,0.20318021201413428
HIB,0.1034965034965035
HLN,0.10512820512820513
HNL,0.17931974334222928
HOB,0.17002237136465326
HOU,0.1905607835605915
HPN,0.24269055264492143
