ORIGIN_AIRPORT,origin_delay_rate
LAW,0.20039292730844793
LAX,0.21295398753697992
LBB,0.16238381629305632
LBE,0.24976525821596243
LCH,0.15442690459849004
LEX,0.16546910285362348
LFT,0.2044433939966911
LGA,0.251159040516025
LGB,0.168813183769561
LIH,0.10364504483521603
LIT,0.1962861564099512
LNK,0.14793741109530584
LRD,0.14098173515981735
LSE,0.17632850241545894
LWS,0.03164556962025317
MAF,0.17758509955041746
MBS,0.1717612809315866
MCI,0.16652821266534604
MCO,0.21164151939691492
MDT,0.16311787072243347
MDW,0.22368299941705275
MEI,0.23002754820936638
MEM,0.17847724372607401
MFE,0.15453296703296704
MFR,0.16089613034623218
MGM,0.2029214370311883
MHK,0.17189952904238617
MHT,0.15124378109452735
MIA,0.23657510960007158
MKE,0.1729718456725756
MKG,0.21188118811881188
MLB,0.12754158964879853
MLI,0.20730117340286833
MLU,0.18736752861381942
MMH,0.2692307692307692
MOB,0.1893579815138646
MOT,0.14634146341463414
MQT,0.18421052631578946
MRY,0.1834862385321101
MSN,0.16808769792935443
MSO,0.09464082098061574
MSP,0.1605121543885693
MSY,0.17109841350911353
MTJ,0.1524390243902439
MVY,0.24878048780487805
MYR,0.22444603288062903
OAJ,0.16538882803943045
OAK,0.1972967401866957
OGG,0.14049982063852684
OKC,0.17542491813503822
OMA,0.16419129659884152
OME,0.2144212523719165
ONT,0.16982681908412622
ORD,0.24839011308904219
ORF,0.16861637757160144
ORH,0.1828793774319066
OTH,0.27896995708154504
OTZ,0.21755725190839695
PAH,0.1328125
PBG,0.32589285714285715
PBI,0.22046133889797528
PDX,0.13359352337754807
PHF,0.1960591133004926
PHL,0.22487062289880255
PHX,0.1924385160483535
PIA,0.1990599944705557
PIB,0.18655097613882862
PIH,0.05904059040590406
PIT,0.15255020802301095
PLN,0.13911620294599017
PNS,0.1637127717887813
PPG,0.3103448275862069
PSC,0.09757442116868799
PSE,0.1554054054054054
PSG,0.22532588454376165
PSP,0.1811958647666946
PUB,0.16205533596837945
PVD,0.1697981906750174
PWM,0.17441239316239315
RAP,0.15286391827800072
RDD,0.14358108108108109
RDM,0.13190005810575248
RDU,0.18909978735134284
RHI,0.2421875
RIC,0.18604269293924466
RKS,0.09769094138543517
RNO,0.17668893838158872
ROA,0.1917808219178082
ROC,0.17374914324880056
ROW,0.18086500655307994
RST,0.21480582524271843
RSW,0.18745644599303135
SAF,0.21293375394321767
SAN,0.1778262767350502
SAT,0.15463578878213025
SAV,0.19834710743801653
SBA,0.1792376317923763
SBN,0.1859492612210761
SBP,0.18953752843062927
SCC,0.14887218045112782
SCE,0.18528252299605782
SDF,0.17223305704534372
SEA,0.16306130590894988
SFO,0.20062363054104163
SGF,0.21282154340836013
SGU,0.09166666666666666
SHV,0.21772361082420988
SIT,0.1474694589877836
SJC,0.17666891436277815
SJT,0.21152328334648776
SJU,0.18272745735174656
SLC,0.12439745768044805
SMF,0.18175837910732492
SMX,0.1614100185528757
SNA,0.14462241026157618
SPI,0.17618664521319388
SPS,0.19114688128772636
SRQ,0.16292134831460675
STC,0.3116883116883117
STL,0.18899116542347774
STT,0.19359534206695778
STX,0.20747422680412372
SUN,0.1279683377308707
SUX,0.20041322314049587
SWF,0.2115732368896926
SYR,0.17096018735362997
TLH,0.16146230007616147
TOL,0.16689280868385345
TPA,0.1898197655201913
TRI,0.17278481012658228
TTN,0.25513851653261843
TUL,0.17377164454601388
TUS,0.15177768696362892
TVC,0.159369527145359
TWF,0.055130168453292494
TXK,0.16356382978723405
TYR,0.20055096418732782
TYS,0.22419297623270662
UST,0.3
VEL,0.035
VLD,0.16469038208168643
VPS,0.17489243229562138
WRG,0.19288389513108614
WYS,0.07211538461538461
XNA,0.23143280765601834
YAK,0.11567164179104478
YUM,0.11052631578947368
